產品編號,CAS NO,成分名稱,濃度,單位,毒化物,關注化學物質,優先化學品,"管制性
化學品",先驅化學品,新化學物質,空汙申請,既有化學物質,申請文件類別,產品包裝
DWM-580-1,100-42-5,Vinylbenzene,0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,
DWM-580-1,95-63-6,"1,2,4-trimethylbenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,
DWM-580-1,1975/9/2,METHYLENE DICHLORIDE,0.0253,% (w/w),N 4類，限值25%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-580-1,56-23-5,carbon tetrachloride,0.0253,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-580-1,107-06-2,ethylene dichloride,0.0253,% (w/w),N 4類，限值15%,N,N 1目，限值1%,N,N,N,N,N 少量,,
DWM-580-1,71-55-6,methyl chloroform,0.0253,% (w/w),N,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-580-1,78-87-5,"1,2-dichloropropane",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-580-1,1979/1/6,trichloroethylene,0.0253,% (w/w),"N 1,2類，限值10%",N,N 附錄一限值>1%,N,N,N,N,N 少量,,
DWM-580-1,108-90-7,chlorobenzene,0.0253,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-580-1,75-00-3,chloroethane,0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,67-56-1,methanol,98.6338,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,74-97-5,bromochloromethane,0.0253,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-583-1,75-27-4,bromodichloromethane,0.0253,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,75-25-2,bromoform,0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,67-66-3,chloroform,0.0253,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,104-51-8,1-Phenylbutane,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,135-98-8,2-Phenylbutane,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,1998/6/6,2-Methyl-2-phenylpropane,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,95-49-8,2-chlorotoluene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,106-43-4,4-chlorotoluene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,1996/12/8,"1,2-dibromo-3-chloropropane (DBCP)",0.0253,% (w/w),"N 1,2,3類，限值1%",N,N,N,N,N,N,N 少量,,
DWM-583-1,74-95-3,dibromomethane,0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,124-48-1,dibromochloromethane,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,99-87-6,p-Isopropyltoluene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,106-93-4,"1,2-dibromoethane (EDB)",0.0253,% (w/w),"N 1,2類，限值10%",N,N,N,N,N,N,N 少量,,
DWM-583-1,594-20-7,"2,2-dichloropropane",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,563-58-6,"1,1-dichloropropene",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,142-28-9,Trimethylene dichloride,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,10061-01-5,"cis-1,3-dichloropropene",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,10061-02-6,"trans-1,3-dichloropropene",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,95-50-1,"1,2-dichlorobenzene",0.0253,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,541-73-1,"1,3-dichlorobenzene",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,106-46-7,"1,4-dichlorobenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,156-60-5,"trans-1,2-dichloroethene",0.0253,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-583-1,75-34-3,"1,1-dichloroethane",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,156-59-2,"cis-1,2-dichloroethene",0.0253,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-583-1,75-35-4,"1,1-dichloroethene",0.0253,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-583-1,87-68-3,hexachlorobutadiene,0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,630-20-6,"1,1,1,2-Tetrachloroethane",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,79-34-5,Acetylene tetrachloride,0.0253,% (w/w),N 4類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,87-61-6,"1,2,3-trichlorobenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,96-18-4,"1,2,3-trichloropropane",0.0253,% (w/w),N 2類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,120-82-1,"1,2,4-trichlorobenzene",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,95-47-6,"1,2-Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,108-38-3,"1,3-Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,106-42-3,"1,4- Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,79-00-5,"1,1,2-trichloroethane",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,91-20-3,naphthalene,0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,
DWM-583-1,127-18-4,perchloroethylene,0.0253,% (w/w),"N 1,2類，限值10%",N,N 1目，限值1%,N,N,N,N,N 少量,,
DWM-583-1,103-65-1,n-Propylbenzene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-583-1,71-43-2,benzene,0.0253,% (w/w),"N 1,2類，限值70%",N,N 1目，限值1%,N,N,N,N,N 少量,,
DWM-583-1,108-88-3,toluene,0.0253,% (w/w),N,N,N 2目少量,N,N 乙類，限值100%,N,N,N 年用量無超過,,
DWM-583-1,100-41-4,ethylbenzene,0.0253,% (w/w),N 4類，限值70%,N,N,N,N,N,N,N 少量,,
DWM-583-1,98-82-8,isopropylbenzene,0.0253,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,108-67-8,"1,3,5-trimethylbenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,
DWM-583-1,100-42-5,Vinylbenzene,0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,
DWM-583-1,95-63-6,"1,2,4-trimethylbenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,
DWM-583-1,1975/9/2,METHYLENE DICHLORIDE,0.0253,% (w/w),N 4類，限值25%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,56-23-5,carbon tetrachloride,0.0253,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-583-1,107-06-2,ethylene dichloride,0.0253,% (w/w),N 4類，限值15%,N,N 1目，限值1%,N,N,N,N,N 少量,,
DWM-583-1,71-55-6,methyl chloroform,0.0253,% (w/w),N,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-583-1,78-87-5,"1,2-dichloropropane",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-583-1,1979/1/6,trichloroethylene,0.0253,% (w/w),"N 1,2類，限值10%",N,N 附錄一限值>1%,N,N,N,N,N 少量,,
DWM-583-1,108-90-7,chlorobenzene,0.0253,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-583-1,108-86-1,bromobenzene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,67-56-1,methanol,84.832,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,541-73-1,"1,3-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,106-46-7,"1,4-dichlorobenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,156-60-5,"trans-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-588-1,75-34-3,"1,1-dichloroethane",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,156-59-2,"cis-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-588-1,75-35-4,"1,1-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-588-1,87-68-3,hexachlorobutadiene,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,630-20-6,"1,1,1,2-Tetrachloroethane",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,79-34-5,Acetylene tetrachloride,0.2528,% (w/w),N 4類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,87-61-6,"1,2,3-trichlorobenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,75-69-4,trichlorofluoromethane,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,96-18-4,"1,2,3-trichloropropane",0.2528,% (w/w),N 2類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,120-82-1,"1,2,4-trichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,95-47-6,"1,2-Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,108-38-3,"1,3-Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,106-42-3,"1,4- Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,79-00-5,"1,1,2-trichloroethane",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,91-20-3,naphthalene,0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,
DWM-588-1,127-18-4,perchloroethylene,0.2528,% (w/w),"N 1,2類，限值10%",N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,103-65-1,n-Propylbenzene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,71-43-2,benzene,0.2528,% (w/w),"N 1,2類，限值70%",N,N 1目，限值1%,N,N,N,N,N 少量,,
DWM-588-1,108-88-3,toluene,0.2528,% (w/w),N,N,N 2目少量,N,N 乙類，限值100%,N,N,N 年用量無超過,,
DWM-588-1,100-41-4,ethylbenzene,0.2528,% (w/w),N 4類，限值70%,N,N,N,N,N,N,N 少量,,
DWM-588-1,98-82-8,isopropylbenzene,0.2528,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,108-67-8,"1,3,5-trimethylbenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,
DWM-588-1,100-42-5,Vinylbenzene,0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,
DWM-588-1,95-63-6,"1,2,4-trimethylbenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,
DWM-588-1,1975/9/2,METHYLENE DICHLORIDE,0.2528,% (w/w),N 4類，限值25%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,56-23-5,carbon tetrachloride,0.2528,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,107-06-2,ethylene dichloride,0.2528,% (w/w),N 4類，限值15%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,71-55-6,methyl chloroform,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,78-87-5,"1,2-dichloropropane",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,1979/1/6,trichloroethylene,0.2528,% (w/w),"N 1,2類，限值10%",N,N 附錄一限值>1%,N,N,N,N,N 少量,,
DWM-588-1,108-90-7,chlorobenzene,0.2528,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,95-50-1,"1,2-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,75-00-3,chloroethane,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,74-87-3,chloromethane,0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-588-1,74-83-9,bromomethane,0.2528,% (w/w),N,N,N 2目少量,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,1975/1/4,vinyl chloride,0.2528,% (w/w),N 2類，限值50%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,75-71-8,dichlorodifluoromethane,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,108-86-1,bromobenzene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,74-97-5,bromochloromethane,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-588-1,75-27-4,bromodichloromethane,0.2528,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,75-25-2,bromoform,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,67-66-3,chloroform,0.2528,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-588-1,104-51-8,1-Phenylbutane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,135-98-8,2-Phenylbutane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,1998/6/6,2-Methyl-2-phenylpropane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,95-49-8,2-chlorotoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,106-43-4,4-chlorotoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,1996/12/8,"1,2-dibromo-3-chloropropane (DBCP)",0.2528,% (w/w),"N 1,2,3類，限值1%",N,N,N,N,N,N,N 少量,,
DWM-588-1,74-95-3,dibromomethane,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-588-1,124-48-1,dibromochloromethane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,99-87-6,p-Isopropyltoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,106-93-4,"1,2-dibromoethane (EDB)",0.2528,% (w/w),"N 1,2類，限值10%",N,N,N,N,N,N,N 少量,,
DWM-588-1,594-20-7,"2,2-dichloropropane",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,563-58-6,"1,1-dichloropropene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,142-28-9,Trimethylene dichloride,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-588-1,10061-01-5,"cis-1,3-dichloropropene",0.2528,% (w/w),N 4類，限值50%,N,N,N,N,N,N,N 少量,,
DWM-588-1,10061-02-6,"trans-1,3-dichloropropene",0.2528,% (w/w),N 4類，限值50%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,67-56-1,methanol,86.3488,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,74-97-5,bromochloromethane,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,空汙申請,
DWM-589N-1,75-27-4,bromodichloromethane,0.2528,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,75-25-2,bromoform,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,67-66-3,chloroform,0.2528,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,104-51-8,1-Phenylbutane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,135-98-8,2-Phenylbutane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,1998/6/6,2-Methyl-2-phenylpropane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,95-49-8,2-chlorotoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,106-43-4,4-chlorotoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,1996/12/8,"1,2-dibromo-3-chloropropane (DBCP)",0.2528,% (w/w),"N 1,2,3類，限值1%",N,N,N,N,N,N,N 少量,,
DWM-589N-1,74-95-3,dibromomethane,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,124-48-1,dibromochloromethane,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,99-87-6,p-Isopropyltoluene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,106-93-4,"1,2-dibromoethane (EDB)",0.2528,% (w/w),"N 1,2類，限值10%",N,N,N,N,N,N,N 少量,,
DWM-589N-1,594-20-7,"2,2-dichloropropane",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,563-58-6,"1,1-dichloropropene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,142-28-9,Trimethylene dichloride,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,10061-01-5,"cis-1,3-dichloropropene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,10061-02-6,"trans-1,3-dichloropropene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,95-50-1,"1,2-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,541-73-1,"1,3-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,106-46-7,"1,4-dichlorobenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,156-60-5,"trans-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,75-34-3,"1,1-dichloroethane",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,156-59-2,"cis-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,75-35-4,"1,1-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,87-68-3,hexachlorobutadiene,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,630-20-6,"1,1,1,2-Tetrachloroethane",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,79-34-5,Acetylene tetrachloride,0.2528,% (w/w),N 4類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,
DWM-589N-1,87-61-6,"1,2,3-trichlorobenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,
DWM-589N-1,96-18-4,"1,2,3-trichloropropane",0.2528,% (w/w),N 2類，限值1%,N,N,N,N,N,N,N 少量,,
DWM-589N-1,120-82-1,"1,2,4-trichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,
